Threads :: 1
CPU Utilization :: 4

Average Threads (till now) :: 1.0000
Average CPU Utilization (till now) :: 4.0000

Threads :: 10
CPU Utilization :: 52

Average Threads (till now) :: 5.5000
Average CPU Utilization (till now) :: 28.0000

Threads :: 11
CPU Utilization :: 67

Average Threads (till now) :: 7.3333
Average CPU Utilization (till now) :: 41.0000

Threads :: 10
CPU Utilization :: 45

Average Threads (till now) :: 8.0000
Average CPU Utilization (till now) :: 42.0000

